iter	Passed	Remaining
0	144	144461
1	145	72610
2	146	48745
3	147	36700
4	148	29471
5	148	24646
6	149	21208
7	150	18628
8	150	16611
9	151	14997
10	162	14590
11	162	13414
12	163	12419
13	164	11570
14	164	10829
15	165	10181
16	166	9611
17	167	9116
18	169	8763
19	170	8358
20	171	7998
21	172	7656
22	172	7344
23	173	7056
24	174	6791
25	174	6549
26	175	6325
27	176	6114
28	176	5920
29	177	5742
30	178	5572
31	178	5411
32	179	5259
33	180	5117
34	180	4984
35	181	4860
36	185	4825
37	186	4721
38	187	4612
39	187	4507
40	188	4408
41	189	4314
42	189	4222
43	190	4135
44	190	4049
45	191	3967
46	191	3889
47	192	3814
48	192	3743
49	193	3673
50	194	3610
51	194	3553
52	195	3496
53	197	3466
54	199	3422
55	200	3372
56	200	3325
57	202	3282
58	203	3248
59	204	3211
60	206	3174
61	207	3133
62	208	3093
63	208	3052
64	209	3011
65	210	2974
66	210	2935
67	213	2921
68	213	2885
69	215	2863
70	216	2835
71	217	2805
72	219	2791
73	221	2771
74	222	2740
75	222	2708
76	223	2676
77	223	2645
78	224	2614
79	224	2584
80	225	2555
81	225	2527
82	225	2496
83	228	2495
84	229	2475
85	230	2450
86	231	2426
87	231	2402
88	232	2380
89	233	2357
90	233	2333
91	234	2310
92	234	2288
93	235	2266
94	235	2244
95	236	2223
96	236	2202
97	237	2181
98	237	2161
99	237	2141
100	238	2124
101	239	2106
102	239	2088
103	240	2071
104	240	2053
105	242	2041
106	242	2025
107	243	2009
108	243	1993
109	244	1976
110	244	1961
111	245	1946
112	246	1931
113	246	1916
114	247	1900
115	247	1886
116	247	1870
117	248	1856
118	248	1842
119	249	1828
120	249	1814
121	250	1800
122	250	1787
123	251	1774
124	251	1762
125	252	1750
126	252	1737
127	253	1724
128	253	1713
129	257	1720
130	257	1710
131	258	1698
132	259	1688
133	259	1678
134	260	1667
135	260	1657
136	261	1646
137	261	1635
138	262	1625
139	262	1614
140	263	1605
141	263	1594
142	264	1584
143	264	1574
144	265	1564
145	265	1554
146	266	1545
147	266	1536
148	267	1526
149	267	1517
150	268	1509
151	269	1503
152	271	1503
153	272	1495
154	272	1487
155	273	1480
156	274	1472
157	274	1465
158	275	1457
159	276	1450
160	276	1441
161	277	1433
162	277	1426
163	278	1421
164	279	1415
165	280	1410
166	281	1404
167	286	1417
168	287	1411
169	287	1404
170	288	1398
171	289	1391
172	289	1385
173	290	1378
174	290	1370
175	291	1363
176	291	1356
177	292	1349
178	292	1342
179	293	1336
180	294	1330
181	294	1324
182	295	1317
183	295	1311
184	296	1305
185	296	1299
186	297	1293
187	298	1289
188	299	1283
189	299	1277
190	300	1271
191	300	1265
192	301	1259
193	301	1253
194	302	1248
195	302	1242
196	303	1236
197	303	1230
198	304	1224
199	304	1219
200	305	1213
201	305	1208
202	306	1202
203	306	1197
204	307	1191
205	308	1187
206	308	1182
207	309	1177
208	309	1171
209	310	1166
210	312	1168
211	313	1165
212	314	1160
213	314	1156
214	315	1151
215	315	1146
216	316	1141
217	316	1136
218	317	1131
219	317	1126
220	318	1122
221	319	1118
222	319	1113
223	320	1108
224	320	1104
225	321	1099
226	322	1096
227	322	1092
228	323	1088
229	323	1083
230	324	1079
231	324	1075
232	327	1077
233	328	1074
234	329	1072
235	330	1068
236	330	1065
237	331	1062
238	332	1058
239	333	1054
240	333	1050
241	334	1046
242	334	1043
243	335	1040
244	336	1037
245	337	1034
246	338	1030
247	338	1026
248	339	1023
249	343	1030
250	345	1029
251	345	1026
252	346	1023
253	347	1019
254	347	1016
255	348	1012
256	348	1008
257	349	1004
258	350	1002
259	351	999
260	351	996
261	352	992
262	352	989
263	353	985
264	353	981
265	354	977
266	354	974
267	358	978
268	359	975
269	359	972
270	360	969
271	360	965
272	361	961
273	361	958
274	362	954
275	362	951
276	363	947
277	363	944
278	364	941
279	364	938
280	365	934
281	365	931
282	366	928
283	366	924
284	367	921
285	367	918
286	368	915
287	368	912
288	369	909
289	370	905
290	373	908
291	373	906
292	374	903
293	374	900
294	375	897
295	375	893
296	376	890
297	376	887
298	377	884
299	378	882
300	378	879
301	379	875
302	379	872
303	380	870
304	380	867
305	380	864
306	381	861
307	381	858
308	382	855
309	383	854
310	384	851
311	385	849
312	388	853
313	389	850
314	390	848
315	391	846
316	392	844
317	392	842
318	393	839
319	394	837
320	395	835
321	395	832
322	396	830
323	396	827
324	397	825
325	397	822
326	398	820
327	398	817
328	399	814
329	399	812
330	400	809
331	401	807
332	402	805
333	402	803
334	403	800
335	403	798
336	404	795
337	404	793
338	405	790
339	405	787
340	406	785
341	406	782
342	407	780
343	408	778
344	408	775
345	409	774
346	410	771
347	410	769
348	411	766
349	411	764
350	412	762
351	412	759
352	413	757
353	413	754
354	417	758
355	418	757
356	419	756
357	420	754
358	421	752
359	421	749
360	422	747
361	423	745
362	423	744
363	424	741
364	425	739
365	425	737
366	426	735
367	426	732
368	427	730
369	427	728
370	428	726
371	428	724
372	432	727
373	433	725
374	434	723
375	434	721
376	435	719
377	436	717
378	436	715
379	437	714
380	438	712
381	439	710
382	439	708
383	440	706
384	440	704
385	441	702
386	442	700
387	443	698
388	444	697
389	445	696
390	445	694
391	446	692
392	447	690
393	447	688
394	448	686
395	448	684
396	449	682
397	449	680
398	450	678
399	450	676
400	451	674
401	451	672
402	452	670
403	452	667
404	453	665
405	454	664
406	454	662
407	455	660
408	455	658
409	456	656
410	456	654
411	457	653
412	458	652
413	459	650
414	460	648
415	460	646
416	461	644
417	461	642
418	462	640
419	462	638
420	463	637
421	463	635
422	464	633
423	464	631
424	465	629
425	465	627
426	466	625
427	466	623
428	467	622
429	468	620
430	468	618
431	469	616
432	469	614
433	469	612
434	470	611
435	470	609
436	471	607
437	474	609
438	475	607
439	476	605
440	476	604
441	477	602
442	477	600
443	478	598
444	478	597
445	479	595
446	479	593
447	480	591
448	480	590
449	481	588
450	481	586
451	482	584
452	482	583
453	483	581
454	483	579
455	484	577
456	484	576
457	485	574
458	486	572
459	486	571
460	489	572
461	490	571
462	491	570
463	492	568
464	492	566
465	493	565
466	493	563
467	494	561
468	494	560
469	495	558
470	495	556
471	496	555
472	496	553
473	497	551
474	497	550
475	498	548
476	498	546
477	499	545
478	499	543
479	500	542
480	501	540
481	501	538
482	504	539
483	504	538
484	505	536
485	506	535
486	506	533
487	507	532
488	508	531
489	508	529
490	509	528
491	509	526
492	510	524
493	510	523
494	511	521
495	511	520
496	512	518
497	512	516
498	513	515
499	513	513
500	514	512
501	514	510
502	515	509
503	515	507
504	516	506
505	521	509
506	522	508
507	524	507
508	529	510
509	530	509
510	530	508
511	532	507
512	536	509
513	537	508
514	538	506
515	538	505
516	539	504
517	540	502
518	540	501
519	541	499
520	542	498
521	542	497
522	543	495
523	544	494
524	544	492
525	545	491
526	546	490
527	550	492
528	551	491
529	552	489
530	553	488
531	553	487
532	554	485
533	555	484
534	555	483
535	556	481
536	557	480
537	557	478
538	558	477
539	558	475
540	559	474
541	559	473
542	560	471
543	561	470
544	561	468
545	562	467
546	565	468
547	567	467
548	568	467
549	569	465
550	569	464
551	570	462
552	570	461
553	571	459
554	571	458
555	572	456
556	572	455
557	573	454
558	573	452
559	574	451
560	574	449
561	575	448
562	575	446
563	576	445
564	576	444
565	577	442
566	582	444
567	583	443
568	583	442
569	584	440
570	584	439
571	585	437
572	585	436
573	586	435
574	586	433
575	587	432
576	587	430
577	588	429
578	589	428
579	589	426
580	590	425
581	590	424
582	591	422
583	591	421
584	592	420
585	592	418
586	596	419
587	597	418
588	598	417
589	598	416
590	599	415
591	600	413
592	600	412
593	601	411
594	601	409
595	602	408
596	602	407
597	603	405
598	604	404
599	604	403
600	605	401
601	605	400
602	606	399
603	606	397
